c_Banco,Descripción,Nombre o razón social,Fecha inicio de vigencia,Fecha fin de vigencia
642,REFORMA,"Operadora de Recursos Reforma, S.A. de C.V., S.F.P.",01/01/17,
646,STP,"Sistema de Transferencias y Pagos STP, S.A. de C.V.SOFOM ENR",01/01/17,
647,TELECOMM,Telecomunicaciones de México,01/01/17,
648,EVERCORE,"Evercore Casa de Bolsa, S.A. de C.V.",01/01/17,
649,SKANDIA,"Skandia Operadora de Fondos, S.A. de C.V.",01/01/17,
651,SEGMTY,"Seguros Monterrey New York Life, S.A de C.V",01/01/17,
652,ASEA,"Solución Asea, S.A. de C.V., Sociedad Financiera Popular",01/01/17,
653,KUSPIT,"Kuspit Casa de Bolsa, S.A. de C.V.",01/01/17,
655,SOFIEXPRESS,"J.P. SOFIEXPRESS, S.A. de C.V., S.F.P.",01/01/17,
656,UNAGRA,"UNAGRA, S.A. de C.V., S.F.P.",01/01/17,
659,OPCIONES EMPRESARIALES DEL NOROESTE,"OPCIONES EMPRESARIALES DEL NORESTE, S.A. DE C.V., S.F.P.",01/01/17,
670,LIBERTAD,"Libertad Servicios Financieros, S.A. De C.V.",01/01/17,
901,CLS,Cls Bank International,01/01/17,
902,INDEVAL,"SD. Indeval, S.A. de C.V.",01/01/17,
